OTU ID	MRC1	MRC2	MRC3	MRC4	MRC5	MRC6	MRC7	MRC_neg	SVERC1	SVERC2	SVERC3	SVERC4	SVERC5	SVERC6	SVERC7	SVERC_neg
LN555082.1.1347	5	6	16	13	10	5	7	0	0	0	0	0	0	0	0	0
HM062207.1.1317	19	8	35	28	14	18	11	0	0	0	0	0	0	0	0	0
GQ924577.1.1499	5	4	7	9	1	1	0	0	0	0	0	0	0	0	0	0
KJ600956.1.1510	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
DQ298787.1.1519	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC554579.1.1539	42	72	104	139	142	89	82	0	7	0	2	1	1	1	1	0
EF019245.1.1376	54	43	53	62	38	44	36	1	16	5	0	12	5	0	1	0
OTU_dn_57	15	13	14	42	23	23	6	0	2	0	0	2	0	0	0	0
JN869143.1.1474	51	37	51	57	24	20	33	1	27	3	0	15	10	16	8	0
EU202792.1.1464	23	18	12	11	0	2	2	2	9	21	37	20	27	27	28	0
KF712854.1.1448	60	21	48	37	25	28	36	0	1	0	8	1	3	1	0	0
KC172281.1.1502	9	3	37	25	15	24	14	0	0	0	0	0	1	0	0	0
JX133397.1.1508	13	8	5	23	7	10	9	0	1	0	0	2	0	0	0	0
KR559959.1.1484	4	3	12	0	2	1	1	1	81	34	31	23	37	30	33	0
JX133488.1.1458	136	106	123	186	101	104	61	2	55	19	31	90	52	28	34	0
EU937837.1.1527	7	2	18	11	20	2	11	0	5	3	0	1	1	0	0	0
JQ711744.1.1526	35	43	49	69	36	31	29	0	5	7	38	73	41	42	52	0
JF429125.1.1528	19	10	7	32	22	14	7	1	32	12	6	19	17	7	17	0
KX752993.1.1503	7	6	8	7	8	11	7	0	2	0	0	0	0	0	0	0
OTU_dn_3254	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
AY395331.1.1393	1	2	1	2	2	2	1	0	0	0	0	0	0	0	0	0
FPLS01058314.22.1490	54	16	11	30	23	4	2	0	5	0	0	1	2	0	0	0
EU135441.1.1384	58	1	2	0	2	1	0	0	0	9	8	0	5	0	1	0
OTU_dn_3697	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_589	10	4	4	3	0	1	2	0	0	0	0	0	0	0	0	0
KY176988.1.1530	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FPLS01049610.10.1482	74	77	88	132	104	98	120	7	334	243	423	372	250	249	252	1
AY921965.1.1355	39	48	32	34	9	30	20	1	30	24	36	34	39	17	35	0
HE818628.1.1483	30	7	15	36	60	16	6	0	3	4	3	5	10	4	4	0
FPLS01004019.1.1264	2	0	2	1	0	3	2	0	0	0	0	0	2	0	0	0
FR687483.1.1495	52	65	85	102	63	49	46	0	0	0	1	0	0	0	1	0
LMIW01000001.1349490.1351021	58	99	80	103	49	50	46	1	13	0	3	7	12	2	9	0
FJ937920.1.1544	13	6	10	14	15	6	8	0	6	3	2	9	3	1	1	0
OTU_dn_107	5	4	17	8	17	22	19	0	0	0	0	0	0	0	0	0
KJ783233.1.1469	9	11	7	6	5	11	13	0	0	0	0	0	0	0	0	0
KX752980.1.1497	85	67	46	95	39	28	44	0	0	0	0	0	0	0	0	0
HQ674957.1.1472	3	4	0	0	0	3	2	0	0	0	0	0	0	0	0	0
JF181286.1.1339	3	8	4	15	2	5	6	0	0	1	0	0	0	0	0	0
HG764474.1.1524	7	5	23	18	33	23	17	0	32	12	54	53	18	26	97	0
HM062332.1.1476	15	21	19	21	13	17	10	0	0	0	0	0	0	0	0	0
KJ192072.1.1505	27	41	53	43	40	50	40	0	11	0	0	2	5	0	0	0
AY395371.1.1464	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
OTU_dn_417	11	7	5	3	0	2	5	0	0	0	0	0	0	0	0	0
KF840371.1.1484	35	57	42	76	22	48	32	2	22	15	73	41	54	51	127	0
OTU_dn_445	4	8	1	1	8	2	4	0	0	0	0	0	3	0	0	0
HQ119239.1.1474	140	96	125	152	78	93	60	0	0	0	0	0	0	0	0	0
HQ118942.1.1500	22	42	51	36	18	34	38	2	53	43	46	49	67	54	87	0
OTU_dn_45	20	25	37	25	16	17	18	0	2	0	0	0	0	0	0	0
DQ395975.1.1559	21	16	31	26	17	32	31	0	0	0	0	0	0	0	0	0
EF019975.1.1390	9	4	8	11	8	5	4	0	0	0	0	0	0	0	1	0
OTU_dn_31	43	41	60	17	13	10	14	0	0	0	0	0	0	0	0	0
LN567208.1.1315	1	3	4	2	7	1	0	0	2	0	0	0	0	0	0	0
CP015736.3659616.3661106	19	0	1	0	2	3	1	0	0	0	0	0	2	4	0	0
JX222567.1.1443	7	3	8	3	3	15	0	0	0	0	0	6	0	0	0	0
OTU_dn_320	8	9	8	7	0	2	3	0	3	1	0	0	0	0	0	0
Z95708.1.1548	16	17	29	11	13	7	11	1	32	55	30	40	20	20	15	0
EF019045.1.1381	14	9	17	15	14	33	25	0	26	8	20	15	1	9	2	0
OTU_dn_695	6	5	2	5	0	1	1	0	0	0	0	0	0	0	0	0
OTU_dn_46	3	5	16	31	26	33	42	0	0	0	0	0	0	0	0	0
OTU_dn_947	10	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
EU276488.1.1490	15	17	18	32	12	23	25	0	0	0	0	0	0	0	0	0
KC554261.1.1542	11	11	8	13	13	6	10	2	44	100	103	86	86	65	46	0
JX133396.1.1521	35	47	84	84	46	70	54	0	0	1	0	0	0	0	0	0
KJ807892.1.1498	24	32	26	21	8	5	7	0	0	0	0	0	2	0	0	0
KC255272.1.1496	13	6	4	23	0	4	0	0	0	0	0	0	0	0	0	0
OTU_dn_330	6	6	5	13	3	4	3	0	0	0	0	0	0	0	0	0
JX133603.1.1494	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_dn_284	1	9	6	15	5	6	2	0	1	0	0	0	0	0	0	0
FPLS01038376.19.1499	25	9	12	6	4	10	4	5	123	66	164	237	140	129	171	0
OTU_dn_117	11	12	21	10	2	0	3	0	0	1	8	11	2	3	3	0
FPLS01013598.11.1522	17	13	86	59	151	78	54	6	43	28	69	99	109	71	113	0
OTU_dn_197	13	7	7	10	3	3	17	0	0	0	0	0	0	0	0	0
OTU_dn_281	18	2	13	11	1	1	0	0	0	0	0	0	0	0	0	0
HM062258.1.1440	55	120	200	179	202	102	109	0	0	0	0	1	0	0	1	0
EF019642.1.1380	44	48	57	59	29	34	36	0	12	1	6	16	1	2	6	0
KX035314.1.1339	22	90	144	109	58	121	104	0	0	0	0	0	0	0	0	0
EU134618.1.1384	3	1	6	11	11	2	2	0	0	0	0	0	0	0	1	0
OTU_dn_4204	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
KY190593.1.1449	3	3	8	4	3	6	3	0	3	3	10	2	1	3	0	0
OTU_dn_193	10	11	9	15	5	11	1	0	0	0	0	0	0	0	0	0
KF712577.1.1495	5	6	4	8	2	3	5	0	0	1	4	0	0	0	0	0
OTU_dn_466	3	2	8	8	4	3	2	0	0	0	0	0	0	0	0	0
KX589534.1.1481	2	0	3	2	0	1	1	0	0	0	0	0	0	0	0	0
OTU_dn_1527	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
EF018208.1.1384	14	26	7	8	1	4	1	0	0	2	3	3	3	0	5	0
AJ582194.1.1381	4	1	15	4	1	1	6	0	1	0	0	0	0	0	0	0
EF515911.1.1451	27	32	49	30	10	23	14	0	6	0	1	0	2	0	0	0
OTU_dn_1020	1	1	5	3	2	0	2	0	0	0	0	0	0	0	0	0
OTU_dn_32	164	1	14	8	6	1	2	0	0	0	0	0	0	0	0	0
